model,wall_ms,cpu_ms,peak_rss,sink
00_quantize_quantize0,1.1553,1,4542464,15744
01_quantize_quantize1,1.4325,2,4091904,15744
02_leaky_relu_leaky_relu0,1.2201,1,4104192,29984
03_leaky_relu_leaky_relu12,1.3898,1,4100096,22688
04_leaky_relu_leaky_relu22,1.1509,1,4100096,22208
05_pad_pad0,1.109,1,4096000,11321
06_pad_pad10,1.0969,1,4096000,12343
07_pad_pad18,1.1361,2,4096000,11894
08_add_add0,1.0848,1,4104192,16296
09_add_add1,1.4395,2,4100096,10286
10_add_add16,1.234,1,4104192,8395
