track	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes
cnr-2000-baseline	0	623236700	578125000	10190848
cnr-2000-candidate	0	610581500	562500000	9490432
wiki-vote-baseline	0	402230200	359375000	7188480
wiki-vote-candidate	0	415385600	343750000	7127040
