"manifest_id","manifest_sha256","mode","cell","replay","run_id","pass","error","record_count","logical_key_bytes","logical_value_bytes","total_sst_bytes","end_to_end_build_write_cpu_ns","end_to_end_build_write_wall_ns","peak_working_set_bytes","cold_full_scan_ns","warm_point_lookup_ns","warm_range_probe_ns","process_cpu_ns","process_wall_ns","run_directory_logical_bytes","selector_trace","result_sha256","result_path"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B3","G1","R1","nvd-2015-B3-G1-R1","True",,"996","21935","4168607","829050","265625000","1135790300","30511104","7199300","1774700","550700","328125000","1226991300","933079","prefix	13	76254	0	0	0	0	0	0	0	65536 || prefix	13	76254	0	0	0	0	0	0	0	65536","AC99CE8FE89E2E8C0F2D404AA983F9827EF9DD185B5671B19126B00BC72BDE1A","resources/build/claim-runs/nvd-2015-B3-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B3","G1","R2","nvd-2015-B3-G1-R2","True",,"996","21935","4168607","829050","312500000","1096589800","30629888","6304400","1540400","467700","343750000","1220996700","933054","prefix	13	76254	0	0	0	0	0	0	0	65536 || prefix	13	76254	0	0	0	0	0	0	0	65536","622967D6B9B259D72CCE02FB3103C5F451125AB2582367AA77D5A9325DE13ECE","resources/build/claim-runs/nvd-2015-B3-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B3","G2","R1","nvd-2015-B3-G2-R1","True",,"996","21935","4168607","797365","296875000","1234209000","27938816","6340600","1617600","583600","328125000","1330335400","900655","prefix	20	149918	0	0	0	0	0	0	0	131072 || prefix	20	149918	0	0	0	0	0	0	0	131072","F3C01414506BFAC3C7B0E27909A1A2E884B0321E8BDCB327BEEBEB4CD060E6B0","resources/build/claim-runs/nvd-2015-B3-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B3","G2","R2","nvd-2015-B3-G2-R2","True",,"996","21935","4168607","797365","218750000","1204705400","26734592","7255500","1823300","451600","265625000","1298358200","901406","prefix	20	149918	0	0	0	0	0	0	0	131072 || prefix	20	149918	0	0	0	0	0	0	0	131072","C1EC722EA76E8DD5AA1DF3CCDDC6745DEC16556CA333F6827FC30EBDF23DBCF6","resources/build/claim-runs/nvd-2015-B3-G2-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B4","G1","R1","nvd-2015-B4-G1-R1","True",,"996","21935","4168607","831090","328125000","1122716700","30527488","6072200","1592400","532100","375000000","1232981300","935104","reservoir	34	272135	0	0	0	0	0	0	0	61727 || reservoir	34	272135	0	0	0	0	0	0	0	61727","8AE356C2CF3EB00B787F398A07994E6C234AA50BC7BC3059E9F912BC8C3ACDA7","resources/build/claim-runs/nvd-2015-B4-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B4","G1","R2","nvd-2015-B4-G1-R2","True",,"996","21935","4168607","831090","312500000","1096332900","29491200","7033200","1689400","454100","375000000","1212591600","934378","reservoir	34	272135	0	0	0	0	0	0	0	61727 || reservoir	34	272135	0	0	0	0	0	0	0	61727","98B74778D926F4DF7C218C0FFBFDCF0942183F3F5AE16B8D70ABD51A3518BA09","resources/build/claim-runs/nvd-2015-B4-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B4","G2","R1","nvd-2015-B4-G2-R1","True",,"996","21935","4168607","801471","390625000","1163422600","30666752","6366400","1674900","529400","437500000","1264323300","905515","reservoir	66	529801	0	0	0	0	0	0	0	129120 || reservoir	66	529801	0	0	0	0	0	0	0	129120","FDBBEB053B35D45E58DC2A0BCCCBE5BB816761C127B370B7C71542BF6CFBE7D8","resources/build/claim-runs/nvd-2015-B4-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B4","G2","R2","nvd-2015-B4-G2-R2","True",,"996","21935","4168607","801471","359375000","1145868300","32944128","7698100","1639300","406900","406250000","1243632200","905516","reservoir	66	529801	0	0	0	0	0	0	0	129120 || reservoir	66	529801	0	0	0	0	0	0	0	129120","2792C2186F0B709F42AE5F12D27137E865709967F93D8C9EB2BA30720A25ED0C","resources/build/claim-runs/nvd-2015-B4-G2-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B5","G1","R1","nvd-2015-B5-G1-R1","True",,"996","21935","4168607","822749","343750000","927124400","29855744","6806700","1708500","675400","390625000","1054540500","926039","stratified	34	272135	0	0	0	0	0	0	0	64945 || stratified	34	272135	0	0	0	0	0	0	0	64945","B89E0197472CDCD34AE16F9DECAC1EFEF26C3286AB71F1F14888F99ECC86FB68","resources/build/claim-runs/nvd-2015-B5-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B5","G1","R2","nvd-2015-B5-G1-R2","True",,"996","21935","4168607","822749","296875000","906233600","28131328","5883100","1535700","518600","343750000","1034449100","926788","stratified	34	272135	0	0	0	0	0	0	0	64945 || stratified	34	272135	0	0	0	0	0	0	0	64945","68DA48847894F1299D2B696944B498F286535C9955071B29E22B23B10DADFFE2","resources/build/claim-runs/nvd-2015-B5-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B5","G2","R1","nvd-2015-B5-G2-R1","True",,"996","21935","4168607","777813","375000000","1126272200","32722944","6305800","1638700","540600","421875000","1217742400","881862","stratified	66	529801	0	0	0	0	0	0	0	128419 || stratified	66	529801	0	0	0	0	0	0	0	128419","4E28BCAE51E0D19865DC4F3E33088051E73006DF964DE835EFE0CF741AEAD5C3","resources/build/claim-runs/nvd-2015-B5-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","B5","G2","R2","nvd-2015-B5-G2-R2","True",,"996","21935","4168607","777813","359375000","1103419200","32927744","6976100","1941700","511600","390625000","1197677200","881862","stratified	66	529801	0	0	0	0	0	0	0	128419 || stratified	66	529801	0	0	0	0	0	0	0	128419","6640A41913E3349AAAD7AA86AC78D3EBDA756398F373027CF9E9B114AF6576D9","resources/build/claim-runs/nvd-2015-B5-G2-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","C1","G1","R1","nvd-2015-C1-G1-R1","True",,"996","21935","4168607","859091","406250000","925927700","31092736","6945200","1659800","515600","437500000","1015021900","963181","candidate	34	272135	1075	248413	993652	212454	620	261	65517	65517 || candidate	34	272135	1075	248413	993652	212454	620	261	65517	65517","69D87E155A12BE8517B38120E787FE19BC7075DBD9AD01096BCD6F42809DF8A5","resources/build/claim-runs/nvd-2015-C1-G1-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","C1","G1","R2","nvd-2015-C1-G1-R2","True",,"996","21935","4168607","859091","578125000","906329400","31784960","7026100","1592700","508600","625000000","995247200","963180","candidate	34	272135	1075	248413	993652	212454	620	261	65517	65517 || candidate	34	272135	1075	248413	993652	212454	620	261	65517	65517","29F3E49260DE58AA22522477A1519CEE816B1759E09D861F68FADAD94B3FC851","resources/build/claim-runs/nvd-2015-C1-G1-R2/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","C1","G2","R1","nvd-2015-C1-G2-R1","True",,"996","21935","4168607","815913","750000000","1401021300","31395840","7237700","1663900","449400","796875000","1495435900","920016","candidate	66	529801	2092	483575	1934300	815332	1217	518	131071	131071 || candidate	66	529801	2092	483575	1934300	815332	1217	518	131071	131071","BCB1B13CBC18CC922B4B9C7C29835FD6C844822A61B664B7FA4B1B09F13B81E3","resources/build/claim-runs/nvd-2015-C1-G2-R1/result.json"
"nvd-2015","2D3CC2D0F4024C78C033C5427AD85F056FC5850E95B1AE45F07B3A545F28FE76","C1","G2","R2","nvd-2015-C1-G2-R2","True",,"996","21935","4168607","815913","765625000","1393273700","28884992","6716600","1575900","505600","796875000","1490952200","920015","candidate	66	529801	2092	483575	1934300	815332	1217	518	131071	131071 || candidate	66	529801	2092	483575	1934300	815332	1217	518	131071	131071","72B4D1C9A12561C4B4726CDD275E475DCFD6C8B5DA9B7837AF3BB46D19027439","resources/build/claim-runs/nvd-2015-C1-G2-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B0","G1","R1","nvd-2016-B0-G1-R1","True",,"954","21130","4171620","1244700","312500000","937298800","23269376","4752500","1558100","587500","343750000","1033759000","1348602","","26F679C4BD6C0F9F5D0D0181384601603A625EE3B6ECBFAECA10F4FB5BEEDA14","resources/build/claim-runs/nvd-2016-B0-G1-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B0","G1","R2","nvd-2016-B0-G1-R2","True",,"954","21130","4171620","1244700","281250000","910093100","22740992","5352700","1697500","429900","328125000","998577500","1348600","","E8B84104223C356AC50711A307788A93CF6A6E008AD3C3092F50AA7ACA51A69B","resources/build/claim-runs/nvd-2016-B0-G1-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B0","G2","R1","nvd-2016-B0-G2-R1","True",,"954","21130","4171620","1244700","281250000","1368680300","23224320","6148200","1728500","663400","328125000","1570066100","1348602","","C2888697986F62012AB26D31C4FAB51DB6F701CFF6CEC4DF3454447D198B95A5","resources/build/claim-runs/nvd-2016-B0-G2-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B0","G2","R2","nvd-2016-B0-G2-R2","True",,"954","21130","4171620","1244700","296875000","1332088600","23093248","4805500","1478300","516300","328125000","1532989900","1348601","","3E51BD8FD760FDA9FAB5E57106F2D561B3FC53ED5025BBAAA0C7B7648DF8A054","resources/build/claim-runs/nvd-2016-B0-G2-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B1","G1","R1","nvd-2016-B1-G1-R1","True",,"954","21130","4171620","905391","250000000","1632184600","23085056","4640900","1494800","549700","265625000","1808516800","1008648","current	1	5375	0	0	0	0	0	0	0	4096 || current	1	5375	0	0	0	0	0	0	0	4096","AD8354D18342849E099077F7A49387359E231D474AEEDB14E66AE5C61320FBF6","resources/build/claim-runs/nvd-2016-B1-G1-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B1","G1","R2","nvd-2016-B1-G1-R2","True",,"954","21130","4171620","905391","234375000","1681450100","23236608","4741700","1496600","468100","296875000","1830134600","1009399","current	1	5375	0	0	0	0	0	0	0	4096 || current	1	5375	0	0	0	0	0	0	0	4096","7E9560D469A2927444F2F1FCD42E67CB6AC60B6A4205A42157BE8DE671EF4394","resources/build/claim-runs/nvd-2016-B1-G1-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B1","G2","R1","nvd-2016-B1-G2-R1","True",,"954","21130","4171620","807815","250000000","1454997000","23408640","4763100","1491900","552800","296875000","1594172900","911824","current	2	11864	0	0	0	0	0	0	0	8192 || current	2	11864	0	0	0	0	0	0	0	8192","4673F25D49BFACF42D314B2A9B5B2B694D0E2429ED7BDFA371F211F56F402C26","resources/build/claim-runs/nvd-2016-B1-G2-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B1","G2","R2","nvd-2016-B1-G2-R2","True",,"954","21130","4171620","807815","281250000","1388605900","23539712","5067100","1782700","702100","312500000","1527190700","911822","current	2	11864	0	0	0	0	0	0	0	8192 || current	2	11864	0	0	0	0	0	0	0	8192","D0739BD225CAE44F997199F1941612ADF9A1B1547E75D4B4C5BB95F7B73895DD","resources/build/claim-runs/nvd-2016-B1-G2-R2/result.json"
