version	path	line	flag	variable	default	source_window
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	93	bitcode-mdindex-threshold	IndexThreshold	25	static cl::opt<unsigned> IndexThreshold("bitcode-mdindex-threshold", cl::Hidden, cl::init(25), cl::desc("Number of metadatas above which we emit an index " "to enable lazy-loading")); static cl::opt<uint32_t> FlushThreshold( "bitcode-flush-threshold", cl::Hidden, cl::init(512), cl::desc("The threshold (unit M) for flushing LLVM bitcode."));  static cl::opt<bool> WriteRelBFToSummary( "write-relbf-to-summary", cl::Hidden, cl::init(false), cl::desc("Write relative block frequency to function summary "));  // Since we only use the context information in the memprof summary records in // the LTO backends to do assertion checking, save time and space by only
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	97	bitcode-flush-threshold	FlushThreshold	512	static cl::opt<uint32_t> FlushThreshold( "bitcode-flush-threshold", cl::Hidden, cl::init(512), cl::desc("The threshold (unit M) for flushing LLVM bitcode."));  static cl::opt<bool> WriteRelBFToSummary( "write-relbf-to-summary", cl::Hidden, cl::init(false), cl::desc("Write relative block frequency to function summary "));  // Since we only use the context information in the memprof summary records in // the LTO backends to do assertion checking, save time and space by only // serializing the context for non-NDEBUG builds. // TODO: Currently this controls writing context of the allocation info records, // which are larger and more expensive, but we should do this for the callsite // records as well.
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	101	write-relbf-to-summary	WriteRelBFToSummary	false	static cl::opt<bool> WriteRelBFToSummary( "write-relbf-to-summary", cl::Hidden, cl::init(false), cl::desc("Write relative block frequency to function summary "));  // Since we only use the context information in the memprof summary records in // the LTO backends to do assertion checking, save time and space by only // serializing the context for non-NDEBUG builds. // TODO: Currently this controls writing context of the allocation info records, // which are larger and more expensive, but we should do this for the callsite // records as well. // FIXME: Convert to a const once this has undergone more sigificant testing. static cl::opt<bool> CombinedIndexMemProfContext("combined-index-memprof-context", cl::Hidden, #ifdef NDEBUG
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	112	combined-index-memprof-context	CombinedIndexMemProfContext	false	static cl::opt<bool> CombinedIndexMemProfContext("combined-index-memprof-context", cl::Hidden, #ifdef NDEBUG cl::init(false), #else cl::init(true), #endif cl::desc(""));  static cl::opt<bool> PreserveBitcodeUseListOrder( "preserve-bc-uselistorder", cl::Hidden, cl::init(true), cl::desc("Preserve use-list order when writing LLVM bitcode."));  namespace llvm {
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	121	preserve-bc-uselistorder	PreserveBitcodeUseListOrder	true	static cl::opt<bool> PreserveBitcodeUseListOrder( "preserve-bc-uselistorder", cl::Hidden, cl::init(true), cl::desc("Preserve use-list order when writing LLVM bitcode."));  namespace llvm { extern FunctionSummary::ForceSummaryHotnessType ForceSummaryEdgesCold; }  namespace {  /// These are manifest constants used by the bitcode writer. They do not need to /// be kept in sync with the reader, but need to be consistent within this file. enum { // VALUE_SYMTAB_BLOCK abbrev id's.
cutoff-main-a1194be1	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	93	bitcode-mdindex-threshold	IndexThreshold	25	static cl::opt<unsigned> IndexThreshold("bitcode-mdindex-threshold", cl::Hidden, cl::init(25), cl::desc("Number of metadatas above which we emit an index " "to enable lazy-loading")); static cl::opt<uint32_t> FlushThreshold( "bitcode-flush-threshold", cl::Hidden, cl::init(512), cl::desc("The threshold (unit M) for flushing LLVM bitcode."));  // Since we only use the context information in the memprof summary records in // the LTO backends to do assertion checking, save time and space by only // serializing the context for non-NDEBUG builds. // TODO: Currently this controls writing context of the allocation info records, // which are larger and more expensive, but we should do this for the callsite // records as well.
cutoff-main-a1194be1	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	97	bitcode-flush-threshold	FlushThreshold	512	static cl::opt<uint32_t> FlushThreshold( "bitcode-flush-threshold", cl::Hidden, cl::init(512), cl::desc("The threshold (unit M) for flushing LLVM bitcode."));  // Since we only use the context information in the memprof summary records in // the LTO backends to do assertion checking, save time and space by only // serializing the context for non-NDEBUG builds. // TODO: Currently this controls writing context of the allocation info records, // which are larger and more expensive, but we should do this for the callsite // records as well. // FIXME: Convert to a const once this has undergone more sigificant testing. static cl::opt<bool> CombinedIndexMemProfContext("combined-index-memprof-context", cl::Hidden, #ifdef NDEBUG
cutoff-main-a1194be1	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	108	combined-index-memprof-context	CombinedIndexMemProfContext	false	static cl::opt<bool> CombinedIndexMemProfContext("combined-index-memprof-context", cl::Hidden, #ifdef NDEBUG cl::init(false), #else cl::init(true), #endif cl::desc(""));  static cl::opt<bool> PreserveBitcodeUseListOrder( "preserve-bc-uselistorder", cl::Hidden, cl::init(true), cl::desc("Preserve use-list order when writing LLVM bitcode."));  namespace llvm {
cutoff-main-a1194be1	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	117	preserve-bc-uselistorder	PreserveBitcodeUseListOrder	true	static cl::opt<bool> PreserveBitcodeUseListOrder( "preserve-bc-uselistorder", cl::Hidden, cl::init(true), cl::desc("Preserve use-list order when writing LLVM bitcode."));  namespace llvm { extern FunctionSummary::ForceSummaryHotnessType ForceSummaryEdgesCold; }  namespace {  /// These are manifest constants used by the bitcode writer. They do not need to /// be kept in sync with the reader, but need to be consistent within this file. enum { // VALUE_SYMTAB_BLOCK abbrev id's.
