split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"train","add","09_add_add1","generated_pack_default",1,1,1,1,1,1000,2258432,41,0,0,2.567,0.000,1536,0,1,0.196,0.000,61.900,0.000,14.600,69910.000,27.560,0.000,69608.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13426688,1536,64.662,0.000,11311643723877767799,1469598103934665603
"train","add","09_add_add1","stable_legal_topo",1,1,1,1,1,1016,4091648,41,0,115,3.333,0.000,1536,0,1,0.282,0.000,53.500,0.000,19.080,69690.000,33.580,0.000,69346.000,60000.000,80.000,0.000,0.006,0.000,4288512,41,0,0,0,328,0,41,0,13484032,1864,143.515,0.000,11311643723877767799,12237940794841257948
"train","add","09_add_add1","stable_dedup_off",1,1,1,1,1,1064,4361984,41,0,115,2.540,0.000,1536,0,1,0.197,0.000,48.800,0.000,14.400,69740.000,27.420,0.000,67962.000,80000.000,80.000,0.000,0.006,0.000,4288512,41,0,0,0,328,0,41,0,13484032,1864,137.937,0.000,11311643723877767799,12237940794841257948
"train","add","09_add_add1","stable_size_matched_capacity",1,1,1,1,1,1016,4091648,41,0,115,3.337,0.000,1512,0,1,0.196,0.000,44.600,0.000,15.900,69430.000,27.540,0.000,67940.000,60000.000,80.000,0.000,0.006,0.000,4288512,41,0,0,0,328,0,41,0,13484032,1840,134.533,0.000,11311643723877767799,12237940794841257948
"train","add","09_add_add1","hot_first_ready",1,1,1,1,1,1016,4894208,41,0,115,3.487,0.000,1536,0,1,0.195,0.000,43.700,0.000,14.520,69540.000,27.280,0.000,67748.000,80000.000,80.000,0.000,0.011,0.000,4288512,41,0,0,0,328,0,41,0,13484032,1864,138.882,0.000,11311643723877767799,3985377294750611604
"train","add","09_add_add1","local_field_order",1,1,1,1,1,1000,4066304,41,0,115,3.517,0.000,1536,0,1,0.196,0.000,44.800,0.000,14.580,68934.000,28.440,0.000,68476.000,60000.000,80.000,0.000,0.004,0.000,4288512,41,0,0,0,328,0,41,0,13484032,1864,132.512,0.000,11311643723877767799,16053506452049370144
"train","add","09_add_add1","generic_bounded_beam",1,1,1,1,1,1008,8225536,41,0,115,3.257,0.000,1536,0,1,0.195,0.000,45.100,0.000,14.580,70418.000,27.500,0.000,68628.000,80000.000,80.000,0.000,8.029,8.000,5132288,328,4551,0,0,12480,0,41,0,13484032,14016,8157.151,8000.000,11311643723877767799,15808387590247576155
"train","add","09_add_add1","fb_rcfdp_bounded",1,1,1,1,1,1008,8225536,41,0,115,3.267,0.000,1536,0,1,0.199,0.000,57.600,0.000,14.600,69428.000,27.500,0.000,68944.000,60000.000,80.000,0.000,19.739,20.000,5210112,321,4532,37,37,12032,0,41,0,13463552,13568,19880.366,20000.000,11311643723877767799,2998014841129036121
