split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","strided_slice","15_strided_slice_strided_slice33","generated_pack_default",1,1,1,1,1,1136,3384832,50,0,0,3.023,0.000,1536,0,1,0.257,0.000,69.000,0.000,16.160,70406.000,28.240,0.000,68434.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13758464,1536,72.280,0.000,11430075486722334661,1469598103934665603
"heldout","strided_slice","15_strided_slice_strided_slice33","stable_legal_topo",1,1,1,1,1,1152,5125120,50,0,151,3.933,0.000,1536,0,1,0.255,0.000,59.500,0.000,16.280,71210.000,28.240,0.000,68478.000,60000.000,86.000,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13819904,1936,157.588,0.000,11430075486722334661,9634640331339833058
"heldout","strided_slice","15_strided_slice_strided_slice33","stable_dedup_off",1,1,1,1,1,1264,5784064,50,0,151,2.893,0.000,1536,0,1,0.257,0.000,71.700,0.000,16.240,71408.000,29.040,200.000,68052.000,60000.000,86.000,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13746176,1936,168.750,0.000,11430075486722334661,9634640331339833058
"heldout","strided_slice","15_strided_slice_strided_slice33","stable_size_matched_capacity",1,1,1,1,1,1152,5125120,50,0,151,4.080,0.000,1696,0,1,0.255,0.000,56.100,0.000,16.940,71314.000,28.120,0.000,68596.000,80000.000,86.000,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13774848,2096,154.335,0.000,11430075486722334661,9634640331339833058
"heldout","strided_slice","15_strided_slice_strided_slice33","hot_first_ready",1,1,1,1,1,1152,5924864,50,0,151,4.233,0.000,1536,0,1,0.253,0.000,55.500,0.000,16.100,70718.000,28.600,0.000,69124.000,60000.000,86.000,0.000,0.018,0.000,4292608,50,0,0,0,400,0,50,0,13774848,1936,163.586,0.000,11430075486722334661,12655128063411478090
"heldout","strided_slice","15_strided_slice_strided_slice33","local_field_order",1,1,1,1,1,1136,5099776,50,0,151,4.327,0.000,1536,0,1,0.260,0.000,56.400,0.000,16.360,70690.000,28.400,0.000,69050.000,60000.000,86.000,0.000,0.005,0.000,4292608,50,0,0,0,400,0,50,0,13774848,1936,152.086,0.000,11430075486722334661,8516781969090450602
"heldout","strided_slice","15_strided_slice_strided_slice33","generic_bounded_beam",1,1,1,1,1,1152,13685760,50,0,151,4.330,33.333,1536,0,1,0.254,0.000,55.600,0.000,17.240,69768.000,28.280,0.000,68708.000,80000.000,86.000,0.000,15.332,15.000,5664768,400,7251,0,0,14208,0,50,0,13774848,15744,15477.784,15033.333,11430075486722334661,493698933206213723
"heldout","strided_slice","15_strided_slice_strided_slice33","fb_rcfdp_bounded",1,1,1,1,1,1152,13685760,50,0,151,4.390,0.000,1536,0,1,0.254,0.000,52.400,0.000,16.200,70478.000,28.320,0.000,68264.000,60000.000,86.000,0.000,38.254,39.000,5771264,393,7251,23,23,13696,0,50,0,13774848,15232,38397.344,39000.000,11430075486722334661,493698933206213723
