split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","conv","19_conv_conv20","generated_pack_default",1,1,1,1,1,1600,4542208,50,0,0,3.223,0.000,2304,0,1,0.241,0.000,71.600,0.000,16.100,71686.000,28.480,0.000,68794.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,14110720,2304,75.064,0.000,65810539343067998,1469598103934665603
"heldout","conv","19_conv_conv20","stable_legal_topo",1,1,1,1,1,1632,6809088,50,0,145,4.820,0.000,2304,0,1,0.241,0.000,72.600,0.000,16.120,70986.000,28.060,0.000,69062.000,60000.000,94.700,0.000,0.007,0.000,4292608,50,0,0,0,400,0,50,0,14180352,2704,179.761,0.000,65810539343067998,16788435062894613452
"heldout","conv","19_conv_conv20","stable_dedup_off",1,1,1,1,1,1728,7315968,50,0,145,3.450,33.333,2304,0,1,0.241,0.000,69.500,0.000,16.080,70756.000,28.120,0.000,70804.000,80000.000,94.700,0.000,0.007,0.000,4292608,50,0,0,0,400,0,50,0,14188544,2704,175.292,33.333,65810539343067998,16788435062894613452
"heldout","conv","19_conv_conv20","stable_size_matched_capacity",1,1,1,1,1,1632,6809088,50,0,145,4.753,0.000,2400,0,1,0.241,0.000,62.100,0.000,16.060,70372.000,28.260,0.000,69060.000,80000.000,94.700,0.000,0.007,0.000,4292608,50,0,0,0,400,0,50,0,14188544,2800,169.195,0.000,65810539343067998,16788435062894613452
"heldout","conv","19_conv_conv20","hot_first_ready",1,1,1,1,1,1616,9177344,50,0,145,5.013,0.000,2304,0,1,0.243,0.000,61.900,0.000,15.880,70640.000,28.400,0.000,69518.000,60000.000,94.700,0.000,0.017,0.000,4292608,50,0,0,0,400,0,50,0,14188544,2704,178.656,0.000,65810539343067998,9334943335212649580
"heldout","conv","19_conv_conv20","local_field_order",1,1,1,1,1,1616,6783744,50,0,145,4.880,0.000,2304,0,1,0.240,0.000,62.500,0.000,16.140,71554.000,28.280,200.000,69736.000,60000.000,94.700,0.000,0.005,0.000,4292608,50,0,0,0,400,0,50,0,14188544,2704,167.420,0.000,65810539343067998,9311106616082197602
"heldout","conv","19_conv_conv20","generic_bounded_beam",1,1,1,1,1,1648,17062144,50,0,145,5.163,33.333,2304,0,1,0.244,0.000,78.200,0.000,16.180,70500.000,28.280,0.000,69744.000,80000.000,94.700,0.000,16.810,17.000,5902336,400,7150,0,0,18176,0,50,0,14188544,20480,16988.207,17033.333,65810539343067998,814050333913950067
"heldout","conv","19_conv_conv20","fb_rcfdp_bounded",1,1,1,1,1,1648,17028352,50,0,145,4.897,0.000,2304,0,1,0.241,0.000,83.000,0.000,16.180,70214.000,29.160,0.000,69748.000,80000.000,94.700,0.000,38.413,38.000,6438912,393,7159,28,28,17728,0,50,0,14127104,20032,38595.338,38000.000,65810539343067998,14494918742431876294
