split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"train","leaky_relu","04_leaky_relu_leaky_relu22","generated_pack_default",1,1,1,1,1,608,1343232,32,0,0,2.083,0.000,1024,0,0,0.164,0.000,51.600,0.000,15.060,72354.000,28.860,0.000,70302.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13275136,1024,53.848,0.000,2909210619804601163,1469598103934665603
"train","leaky_relu","04_leaky_relu_leaky_relu22","stable_legal_topo",1,1,1,1,1,632,2356992,32,0,93,2.613,0.000,1024,0,0,0.163,0.000,54.600,0.000,15.060,72188.000,28.460,0.000,70932.000,60000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,138.676,0.000,2909210619804601163,7338820247994720197
"train","leaky_relu","04_leaky_relu_leaky_relu22","stable_dedup_off",1,1,1,1,1,656,2447104,32,0,93,1.897,0.000,1024,0,0,0.164,0.000,56.800,0.000,15.060,71482.000,28.440,200.000,70040.000,60000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,140.161,0.000,2909210619804601163,7338820247994720197
"train","leaky_relu","04_leaky_relu_leaky_relu22","stable_size_matched_capacity",1,1,1,1,1,632,2356992,32,0,93,2.723,0.000,936,0,1,0.163,0.000,42.800,0.000,15.040,71558.000,28.360,0.000,70468.000,80000.000,75.700,0.000,0.006,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1192,126.986,0.000,2909210619804601163,7338820247994720197
"train","leaky_relu","04_leaky_relu_leaky_relu22","hot_first_ready",1,1,1,1,1,624,2644224,32,0,93,2.740,0.000,1024,0,0,0.163,0.000,44.100,0.000,14.820,70970.000,27.920,0.000,69296.000,60000.000,75.700,0.000,0.008,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,131.102,0.000,2909210619804601163,11713197329645419167
"train","leaky_relu","04_leaky_relu_leaky_relu22","local_field_order",1,1,1,1,1,624,2331648,32,0,93,2.680,0.000,1024,0,0,0.162,0.000,40.300,0.000,14.840,71562.000,28.220,0.000,69074.000,60000.000,75.700,0.000,0.003,0.000,4284416,32,0,0,0,256,0,32,0,13340672,1280,121.842,0.000,2909210619804601163,7271634963684870539
"train","leaky_relu","04_leaky_relu_leaky_relu22","generic_bounded_beam",1,1,1,1,1,632,3635456,32,0,93,2.643,0.000,1024,0,0,0.161,5.000,39.500,0.000,14.920,70722.000,29.160,0.000,69872.000,80000.000,75.700,0.000,4.418,5.000,4804608,256,2822,0,0,8896,0,32,0,13340672,9920,4535.805,5005.000,2909210619804601163,11682568396305527590
"train","leaky_relu","04_leaky_relu_leaky_relu22","fb_rcfdp_bounded",1,1,1,1,1,632,3635456,32,0,93,2.617,0.000,1024,0,0,0.161,0.000,39.300,0.000,14.880,71224.000,28.040,0.000,68582.000,60000.000,75.700,0.000,11.030,11.000,5029888,249,2822,29,29,8480,0,32,0,13340672,9504,11147.477,11000.000,2909210619804601163,340680833832684476
