split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","strided_slice","14_strided_slice_strided_slice15","generated_pack_default",1,1,1,1,1,1248,3666432,50,0,0,3.373,0.000,1536,0,1,0.257,0.000,72.500,0.000,16.300,71816.000,28.440,0.000,68134.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13877248,1536,76.130,0.000,11662840376245977390,1469598103934665603
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_legal_topo",1,1,1,1,1,1264,5654528,50,0,151,4.243,0.000,1536,0,1,0.256,0.000,62.400,0.000,16.200,70332.000,28.260,0.000,69694.000,60000.000,94.700,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13934592,1936,169.499,0.000,11662840376245977390,9634640331339833058
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_dedup_off",1,1,1,1,1,1376,6313472,50,0,151,3.140,0.000,1536,0,1,0.256,0.000,59.700,0.000,16.260,70326.000,28.160,0.000,68092.000,80000.000,94.700,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13934592,1936,165.696,0.000,11662840376245977390,9634640331339833058
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_size_matched_capacity",1,1,1,1,1,1264,5654528,50,0,151,4.230,0.000,1848,0,1,0.253,0.000,51.600,0.000,16.960,70468.000,28.180,0.000,68904.000,80000.000,94.700,0.000,0.008,0.000,4292608,50,0,0,0,400,0,50,0,13934592,2248,158.683,0.000,11662840376245977390,9634640331339833058
"heldout","strided_slice","14_strided_slice_strided_slice15","hot_first_ready",1,1,1,1,1,1264,6530304,50,0,151,4.460,0.000,1536,0,1,0.257,0.000,53.900,0.000,16.140,69824.000,28.200,0.000,68422.000,60000.000,94.700,0.000,0.018,0.000,4292608,50,0,0,0,400,0,50,0,13934592,1936,171.217,0.000,11662840376245977390,12655128063411478090
"heldout","strided_slice","14_strided_slice_strided_slice15","local_field_order",1,1,1,1,1,1248,5629184,50,0,151,4.477,33.333,1536,0,1,0.254,0.000,51.700,0.000,16.280,69698.000,28.060,0.000,69040.000,80000.000,94.700,0.000,0.005,0.000,4292608,50,0,0,0,400,0,50,0,13934592,1936,156.330,33.333,11662840376245977390,8516781969090450602
"heldout","strided_slice","14_strided_slice_strided_slice15","generic_bounded_beam",1,1,1,1,1,1264,15319040,50,0,151,4.380,0.000,1536,0,1,0.253,0.000,56.300,0.000,16.120,69356.000,28.140,0.000,69124.000,60000.000,94.700,0.000,16.344,17.000,5640192,400,7241,0,0,15104,0,50,0,13934592,16640,16499.432,17000.000,11662840376245977390,13790364150231669660
"heldout","strided_slice","14_strided_slice_strided_slice15","fb_rcfdp_bounded",1,1,1,1,1,1264,15319040,50,0,151,4.343,0.000,1536,0,1,0.254,0.000,53.000,0.000,16.200,70792.000,28.220,200.000,68394.000,60000.000,94.700,0.000,38.973,39.000,6025216,393,7241,23,23,14656,0,50,0,13934592,16192,39125.097,39000.000,11662840376245977390,13790364150231669660
