split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","generated_pack_default",1,1,1,1,1,3248,8797184,55,0,0,3.680,0.000,3840,0,1,0.274,0.000,93.300,0.000,16.120,74652.000,28.920,200.000,69748.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,14594048,3840,97.254,0.000,8224305740907435918,1469598103934665603
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","stable_legal_topo",1,1,1,1,1,3264,9574400,55,0,160,6.693,33.333,3840,0,1,0.271,0.000,94.100,0.000,16.160,72136.000,28.660,200.000,70066.000,60000.000,112.000,0.000,0.008,0.000,4313088,55,0,0,0,440,0,55,0,14651392,4280,220.964,33.333,8224305740907435918,4006963793045735268
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","stable_dedup_off",1,1,1,1,1,3344,10081280,55,0,160,5.313,0.000,3840,0,1,0.302,0.000,118.300,1000.000,16.140,71656.000,28.140,200.000,69310.000,60000.000,112.000,0.000,0.008,0.000,4313088,55,0,0,0,440,0,55,0,14491648,4280,243.815,1000.000,8224305740907435918,4006963793045735268
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","stable_size_matched_capacity",1,1,1,1,1,3264,9574400,55,0,160,6.790,33.333,4848,0,1,0.269,0.000,85.000,0.000,16.000,70422.000,28.040,0.000,70252.000,80000.000,112.000,0.000,0.008,0.000,4313088,55,0,0,0,440,0,55,0,14540800,5288,211.959,33.333,8224305740907435918,4006963793045735268
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","hot_first_ready",1,1,1,1,1,3264,12196096,55,0,160,6.827,33.333,3840,0,1,0.271,0.000,82.100,0.000,15.940,71246.000,28.660,0.000,69322.000,80000.000,112.000,0.000,0.020,0.000,4313088,55,0,0,0,440,0,55,0,14540800,4280,220.998,33.333,8224305740907435918,4511161365951526196
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","local_field_order",1,1,1,1,1,3248,9549056,55,0,160,6.660,33.333,3840,0,1,0.269,0.000,88.100,0.000,16.080,72102.000,28.560,0.000,70110.000,80000.000,112.000,0.000,0.006,0.000,4313088,55,0,0,0,440,0,55,0,14544896,4280,212.729,33.333,8224305740907435918,6018651948704096660
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","generic_bounded_beam",1,1,1,1,1,3264,48311296,55,0,160,6.963,33.333,4608,0,1,0.271,0.000,90.700,0.000,16.160,71252.000,29.360,0.000,69166.000,80000.000,112.000,0.000,25.327,25.000,6787072,440,8681,0,0,31424,0,55,0,14544896,36032,25537.135,25033.333,8224305740907435918,11837217081317236642
"heldout","transpose_conv","21_transpose_conv_transpose_conv4","fb_rcfdp_bounded",1,1,1,1,1,3264,48311296,55,0,160,6.877,0.000,4608,0,1,0.269,0.000,90.500,0.000,16.160,72428.000,28.760,0.000,69828.000,80000.000,112.000,0.000,54.220,54.000,8376320,433,8681,23,23,31008,0,55,0,14544896,35616,54429.946,54000.000,8224305740907435918,11837217081317236642
