split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"train","leaky_relu","02_leaky_relu_leaky_relu0","generated_pack_default",1,1,1,1,1,856,1698048,32,0,0,2.263,0.000,1024,0,0,0.166,0.000,59.700,0.000,15.020,72358.000,28.740,0.000,70006.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13266944,1024,62.129,0.000,16651537719671144799,1469598103934665603
"train","leaky_relu","02_leaky_relu_leaky_relu0","stable_legal_topo",1,1,1,1,1,872,3198976,32,0,93,3.043,0.000,1024,0,0,0.162,0.000,55.100,0.000,16.660,71786.000,28.340,200.000,70584.000,60000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13324288,1280,171.305,0.000,16651537719671144799,7338820247994720197
"train","leaky_relu","02_leaky_relu_leaky_relu0","stable_dedup_off",1,1,1,1,1,896,3289088,32,0,93,2.143,0.000,1024,0,0,0.174,0.000,51.700,0.000,14.940,72494.000,28.720,0.000,70130.000,80000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13324288,1280,167.017,0.000,16651537719671144799,7338820247994720197
"train","leaky_relu","02_leaky_relu_leaky_relu0","stable_size_matched_capacity",1,1,1,1,1,872,3198976,32,0,93,3.200,0.000,1312,0,1,0.164,0.000,48.800,0.000,15.020,71698.000,29.300,0.000,69674.000,80000.000,107.600,0.000,0.005,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1568,165.164,0.000,16651537719671144799,7338820247994720197
"train","leaky_relu","02_leaky_relu_leaky_relu0","hot_first_ready",1,1,1,1,1,872,3528448,32,0,93,3.187,0.000,1024,0,0,0.161,0.000,45.600,0.000,16.040,73132.000,27.820,0.000,68946.000,60000.000,107.600,0.000,0.009,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1280,165.348,0.000,16651537719671144799,11713197329645419167
"train","leaky_relu","02_leaky_relu_leaky_relu0","local_field_order",1,1,1,1,1,864,3173632,32,0,93,3.063,0.000,1024,0,0,0.161,0.000,48.700,0.000,14.840,71334.000,28.140,200.000,69826.000,60000.000,107.600,0.000,0.003,0.000,4284416,32,0,0,0,256,0,32,0,13336576,1280,162.725,0.000,16651537719671144799,7271634963684870539
"train","leaky_relu","02_leaky_relu_leaky_relu0","generic_bounded_beam",1,1,1,1,1,888,5893888,32,0,93,3.223,33.333,1024,0,0,0.161,0.000,57.600,0.000,16.100,72064.000,28.500,0.000,70328.000,80000.000,107.600,0.000,4.760,5.000,4857856,256,2830,0,0,10944,0,32,0,13336576,11968,4928.584,5033.333,16651537719671144799,9967989675232051882
"train","leaky_relu","02_leaky_relu_leaky_relu0","fb_rcfdp_bounded",1,1,1,1,1,888,5893888,32,0,93,3.070,0.000,1024,0,0,0.162,0.000,62.400,0.000,14.960,71694.000,28.260,0.000,70288.000,80000.000,107.600,0.000,11.428,11.000,5038080,249,2830,29,29,10496,0,32,0,13336576,11520,11601.332,11000.000,16651537719671144799,14134082833011767220
