split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","strided_slice","13_strided_slice_strided_slice0","generated_pack_default",1,1,1,1,1,1136,3384832,50,0,0,3.060,0.000,1536,0,1,0.256,0.000,69.600,0.000,16.220,71802.000,28.500,0.000,69704.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13762560,1536,72.915,0.000,12703725449622278446,1469598103934665603
"heldout","strided_slice","13_strided_slice_strided_slice0","stable_legal_topo",1,1,1,1,1,1152,5125120,50,0,151,4.067,0.000,1536,0,1,0.259,0.000,63.200,0.000,16.280,70972.000,28.220,0.000,68766.000,60000.000,93.900,0.000,0.008,0.000,4296704,50,0,0,0,400,0,50,0,13824000,1936,169.025,0.000,12703725449622278446,9634640331339833058
"heldout","strided_slice","13_strided_slice_strided_slice0","stable_dedup_off",1,1,1,1,1,1264,5781248,50,0,151,2.917,33.333,1536,0,1,0.254,0.000,71.000,0.000,16.260,71014.000,28.620,0.000,69480.000,80000.000,93.900,0.000,0.008,0.000,4296704,50,0,0,0,400,0,50,0,13750272,1936,175.671,33.333,12703725449622278446,9634640331339833058
"heldout","strided_slice","13_strided_slice_strided_slice0","stable_size_matched_capacity",1,1,1,1,1,1152,5125120,50,0,151,4.187,0.000,1696,0,1,0.254,0.000,64.100,0.000,16.260,71218.000,28.580,0.000,69556.000,80000.000,93.900,0.000,0.008,0.000,4296704,50,0,0,0,400,0,50,0,13778944,2096,170.040,0.000,12703725449622278446,9634640331339833058
"heldout","strided_slice","13_strided_slice_strided_slice0","hot_first_ready",1,1,1,1,1,1152,5924864,50,0,151,4.283,0.000,1536,0,1,0.259,0.000,62.500,0.000,16.460,71514.000,29.540,0.000,68852.000,60000.000,93.900,0.000,0.017,0.000,4296704,50,0,0,0,400,0,50,0,13778944,1936,178.342,0.000,12703725449622278446,12655128063411478090
"heldout","strided_slice","13_strided_slice_strided_slice0","local_field_order",1,1,1,1,1,1136,5099776,50,0,151,4.297,0.000,1536,0,1,0.250,0.000,55.900,0.000,17.000,70738.000,28.500,200.000,68600.000,60000.000,93.900,0.000,0.005,0.000,4296704,50,0,0,0,400,0,50,0,13778944,1936,159.447,0.000,12703725449622278446,8516781969090450602
"heldout","strided_slice","13_strided_slice_strided_slice0","generic_bounded_beam",1,1,1,1,1,1152,13685760,50,0,151,4.170,33.333,1536,0,1,0.254,0.000,58.500,0.000,16.160,71346.000,28.140,0.000,68384.000,80000.000,93.900,0.000,15.546,16.000,5668864,400,7251,0,0,14208,0,50,0,13778944,15744,15703.124,16033.333,12703725449622278446,493698933206213723
"heldout","strided_slice","13_strided_slice_strided_slice0","fb_rcfdp_bounded",1,1,1,1,1,1152,13685760,50,0,151,4.177,0.000,1536,0,1,0.255,0.000,57.500,0.000,16.200,70294.000,29.280,0.000,68802.000,60000.000,93.900,0.000,38.628,38.000,5775360,393,7251,23,23,13696,0,50,0,13778944,15232,38784.131,38000.000,12703725449622278446,493698933206213723
