split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","conv","16_conv_conv0","generated_pack_default",1,1,1,1,1,2368,6257152,50,0,0,3.350,0.000,3480,0,1,0.236,0.000,81.100,0.000,15.700,70270.000,27.900,0.000,72922.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,14270464,3480,84.686,0.000,16734817698509843288,1469598103934665603
"heldout","conv","16_conv_conv0","stable_legal_topo",1,1,1,1,1,2384,7808768,50,0,144,5.523,0.000,3456,0,1,0.236,0.000,81.200,0.000,16.620,73774.000,51.900,0.000,69028.000,80000.000,99.700,0.000,0.007,0.000,4300800,50,0,0,0,400,0,50,0,14327808,3856,194.059,0.000,16734817698509843288,16788435062894613452
"heldout","conv","16_conv_conv0","stable_dedup_off",1,1,1,1,1,2448,8101632,50,0,144,4.267,0.000,3456,0,1,0.237,0.000,75.100,0.000,15.980,69962.000,27.640,0.000,67732.000,80000.000,99.700,0.000,0.007,0.000,4300800,50,0,0,0,400,0,50,0,14336000,3856,186.704,0.000,16734817698509843288,16788435062894613452
"heldout","conv","16_conv_conv0","stable_size_matched_capacity",1,1,1,1,1,2384,7808768,50,0,144,5.413,0.000,3552,0,1,0.235,0.000,66.100,0.000,15.880,69086.000,27.720,0.000,67570.000,60000.000,99.700,0.000,0.007,0.000,4300800,50,0,0,0,400,0,50,0,14336000,3952,178.848,0.000,16734817698509843288,16788435062894613452
"heldout","conv","16_conv_conv0","hot_first_ready",1,1,1,1,1,2384,10427648,50,0,144,5.693,33.333,3456,0,1,0.234,0.000,61.800,0.000,15.720,70448.000,27.560,0.000,68488.000,80000.000,99.700,0.000,0.017,0.000,4300800,50,0,0,0,400,0,50,0,14336000,3856,183.927,33.333,16734817698509843288,9334943335212649580
"heldout","conv","16_conv_conv0","local_field_order",1,1,1,1,1,2384,7783424,50,0,144,5.640,0.000,3456,0,1,0.234,0.000,61.900,0.000,15.800,70168.000,28.800,0.000,67686.000,60000.000,99.700,0.000,0.005,0.000,4300800,50,0,0,0,400,0,50,0,14336000,3856,172.575,0.000,16734817698509843288,9311106616082197602
"heldout","conv","16_conv_conv0","generic_bounded_beam",1,1,1,1,1,2416,27912192,50,0,144,5.490,0.000,3480,0,1,0.305,0.000,73.200,0.000,15.840,70176.000,27.840,0.000,69020.000,60000.000,99.700,0.000,19.141,19.000,6385664,400,7210,0,0,24320,0,50,0,14336000,27800,19319.395,19000.000,16734817698509843288,15986877512412405276
"heldout","conv","16_conv_conv0","fb_rcfdp_bounded",1,1,1,1,1,2416,27912192,50,0,144,5.587,0.000,3480,0,1,0.236,0.000,66.400,1000.000,15.920,69990.000,27.960,0.000,69066.000,80000.000,99.700,0.000,41.277,42.000,6791168,393,7210,23,23,23840,0,50,0,14336000,27320,41448.723,43000.000,16734817698509843288,15986877512412405276
