split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"train","pad","05_pad_pad0","generated_pack_default",1,1,1,1,1,784,1875456,38,0,0,2.457,0.000,1024,0,0,0.196,0.000,61.600,0.000,15.940,72786.000,28.700,0.000,70472.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13385728,1024,64.253,0.000,1231445083847178882,1469598103934665603
"train","pad","05_pad_pad0","stable_legal_topo",1,1,1,1,1,816,3111680,38,0,111,3.227,0.000,1024,0,0,0.193,0.000,52.200,0.000,16.060,72122.000,28.500,0.000,69382.000,60000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.120,0.000,1231445083847178882,6468791518998523600
"train","pad","05_pad_pad0","stable_dedup_off",1,1,1,1,1,848,3317248,38,0,111,2.187,0.000,1024,0,0,0.193,0.000,53.600,0.000,15.940,71016.000,28.460,200.000,69906.000,60000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.479,0.000,1231445083847178882,6468791518998523600
"train","pad","05_pad_pad0","stable_size_matched_capacity",1,1,1,1,1,816,3111680,38,0,111,3.387,0.000,1176,0,1,0.214,0.000,49.600,0.000,19.680,71202.000,29.840,0.000,69592.000,80000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1480,137.700,0.000,1231445083847178882,6468791518998523600
"train","pad","05_pad_pad0","hot_first_ready",1,1,1,1,1,800,3581952,38,0,111,3.687,0.000,1024,0,0,0.191,0.000,48.200,0.000,15.860,71250.000,28.140,0.000,80126.000,80000.000,78.100,0.000,0.012,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,142.478,0.000,1231445083847178882,8960362800781407636
"train","pad","05_pad_pad0","local_field_order",1,1,1,1,1,800,3086336,38,0,111,3.473,0.000,1024,0,0,0.193,5.000,55.000,0.000,15.920,74046.000,28.440,0.000,69060.000,80000.000,78.100,0.000,0.004,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.466,5.000,1231445083847178882,2476321706732926500
"train","pad","05_pad_pad0","generic_bounded_beam",1,1,1,1,1,800,6088192,38,0,111,3.177,0.000,1024,0,0,0.189,0.000,56.800,0.000,15.860,70630.000,29.100,0.000,68782.000,80000.000,78.100,0.000,6.572,7.000,5046272,304,3912,0,0,10624,0,38,0,13443072,11648,6710.466,7000.000,1231445083847178882,4143527879970738296
"train","pad","05_pad_pad0","fb_rcfdp_bounded",1,1,1,1,1,800,6088192,38,0,111,3.130,0.000,1024,0,0,0.190,0.000,55.900,0.000,15.900,72342.000,28.280,0.000,68556.000,60000.000,78.100,0.000,16.829,17.000,5259264,297,3912,23,23,10112,0,38,0,13443072,11136,16966.820,17000.000,1231445083847178882,4143527879970738296
