split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
"heldout","sub","12_sub_sub4","generated_pack_default",1,1,1,1,1,864,2075392,41,0,0,3.373,33.333,1024,0,0,0.231,0.000,67.900,0.000,14.780,75178.000,28.220,0.000,68824.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13426688,1024,71.505,33.333,13875922224478425032,1469598103934665603
"heldout","sub","12_sub_sub4","stable_legal_topo",1,1,1,1,1,872,3542528,41,0,117,3.247,33.333,1024,0,0,0.191,0.000,75.700,0.000,14.360,67780.000,34.740,0.000,70890.000,80000.000,85.100,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13488128,1352,170.638,33.333,13875922224478425032,12237940794841257948
"heldout","sub","12_sub_sub4","stable_dedup_off",1,1,1,1,1,928,3857920,41,0,117,2.430,0.000,1024,0,0,0.199,0.000,69.000,0.000,14.760,71890.000,27.900,0.000,68726.000,80000.000,85.100,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13488128,1352,163.129,0.000,13875922224478425032,12237940794841257948
"heldout","sub","12_sub_sub4","stable_size_matched_capacity",1,1,1,1,1,872,3542528,41,0,117,3.440,0.000,1296,0,1,0.198,0.000,63.500,0.000,14.740,70798.000,28.900,0.000,69344.000,60000.000,85.100,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13488128,1624,158.638,0.000,13875922224478425032,12237940794841257948
"heldout","sub","12_sub_sub4","hot_first_ready",1,1,1,1,1,872,4361984,41,0,117,3.587,0.000,1024,0,0,0.199,0.000,63.300,0.000,14.840,73890.000,28.140,0.000,68520.000,60000.000,85.100,0.000,0.011,0.000,4292608,41,0,0,0,328,0,41,0,13488128,1352,163.586,0.000,13875922224478425032,3985377294750611604
"heldout","sub","12_sub_sub4","local_field_order",1,1,1,1,1,856,3517184,41,0,117,3.370,0.000,1024,0,0,0.199,0.000,65.200,0.000,14.800,71958.000,27.860,200.000,69902.000,60000.000,85.100,0.000,0.004,0.000,4292608,41,0,0,0,328,0,41,0,13488128,1352,157.769,0.000,13875922224478425032,16053506452049370144
"heldout","sub","12_sub_sub4","generic_bounded_beam",1,1,1,1,1,856,6535936,41,0,117,3.247,0.000,1024,0,0,0.199,0.000,78.500,1000.000,14.840,72416.000,28.440,200.000,69312.000,60000.000,85.100,0.000,8.279,9.000,5079040,328,4799,0,0,11264,0,41,0,13488128,12288,8445.746,10000.000,13875922224478425032,12149354705767170189
"heldout","sub","12_sub_sub4","fb_rcfdp_bounded",1,1,1,1,1,856,6535936,41,0,117,3.230,0.000,1024,0,0,0.199,5.000,65.300,0.000,14.760,70768.000,28.060,0.000,69154.000,80000.000,85.100,0.000,21.571,21.000,5238784,321,4793,29,29,10816,0,41,0,13488128,11840,21724.729,21005.000,13875922224478425032,8818897937525771040
