trace_id,variant,replay,preprocessing_time_ns,preprocessing_cost_source,dependency_graph_and_extraction_time_ns,order_and_batch_construction_time_ns,fallback_and_legality_oracle_time_ns,scheduling_total_time_ns,veripb_checker_time_ns,cakepb_checker_time_ns,full_time_ns,proof_bytes,kernel_bytes,certificate_bytes,disk_io_bytes,peak_rss_bytes,fallback_to_original,output_wcnf_sha256,output_hash_equal_to_frozen,objective_equality,veripb_forced_checked_accept,cakepb_equioptimal_accept,proof_sha256,kernel_sha256
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,stable_legal,1,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,0,0,43317200,109091600,251040600,425788594,1433062,2336969,3770031,3944857,538157056,True,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,548BCFEB11DEA8BD739DD46F23F704D5FE10137BAA282BADAE346BC4B85AECF9,F21B70B90DCF326EA72ED872D71844AA541C8FC1414DC06B18322B1F7E254D1D
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,stable_legal,2,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,0,0,43317200,106388400,251842100,423886894,1433062,2336969,3770031,3944857,538198016,True,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,548BCFEB11DEA8BD739DD46F23F704D5FE10137BAA282BADAE346BC4B85AECF9,F21B70B90DCF326EA72ED872D71844AA541C8FC1414DC06B18322B1F7E254D1D
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,greedy_earliest_ready,1,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,0,0,43317200,107271900,255266700,428194994,1433062,2336969,3770031,3944857,538198016,True,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,548BCFEB11DEA8BD739DD46F23F704D5FE10137BAA282BADAE346BC4B85AECF9,F21B70B90DCF326EA72ED872D71844AA541C8FC1414DC06B18322B1F7E254D1D
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,greedy_earliest_ready,2,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,0,0,43317200,108886100,255592700,430135194,1433062,2336969,3770031,3944857,538185728,True,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,548BCFEB11DEA8BD739DD46F23F704D5FE10137BAA282BADAE346BC4B85AECF9,F21B70B90DCF326EA72ED872D71844AA541C8FC1414DC06B18322B1F7E254D1D
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,candidate_frontier,1,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,12123400,381574700,437015300,114614500,266841500,840810494,1433062,2336969,3770031,3944857,538214400,False,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,6735A2D1E9F64838B212111DECA0B78FE126C4AE081A49A88D22B1A8A7C87E96,8A01A457770B30BE1073D02038D04755380064EEF1C59CC41A8CA7E28121B3EE
zenodo__MaxSATQueriesinInterpretableClassifiers-parkinsons_train_5_DNF_2_1,candidate_frontier,2,22339194,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,43317200,12123400,381574700,437015300,113082900,263278400,835715794,1433062,2336969,3770031,3944857,538214400,False,010E863DF0466D50282166CB5A0399A04DD1A95275CDCE3827ACEA13121215EF,True,True,True,True,6735A2D1E9F64838B212111DECA0B78FE126C4AE081A49A88D22B1A8A7C87E96,8A01A457770B30BE1073D02038D04755380064EEF1C59CC41A8CA7E28121B3EE
zenodo__bcp-simp-nonunif-75_50.07,original,1,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,42289500,100366900,156698770,317343,515607,832950,887309,189841408,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,87BB94C00C4347FCDDAA3555B2E44A59BE715F4A5F3628D95C297F0A9FD78704,3BF29528060C5831EA4602D79E772EBBB8869615F9D46D8F4B793ACE6B3CAC5F
zenodo__bcp-simp-nonunif-75_50.07,original,2,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,41546600,101157200,156746170,317343,515607,832950,887309,189800448,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,87BB94C00C4347FCDDAA3555B2E44A59BE715F4A5F3628D95C297F0A9FD78704,3BF29528060C5831EA4602D79E772EBBB8869615F9D46D8F4B793ACE6B3CAC5F
zenodo__bcp-simp-nonunif-75_50.07,stable_legal,1,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,10545300,156469900,186285800,41227200,100206600,341761970,317343,515667,833010,887369,189845504,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,BF60705AE54CC881A32C90A8962582EC33F57A8FBB5454214B0547C17BF24E2C,13E639115376A432A7A162B1091EBB98431BFBCB542E51C2E08291E6225C3D76
zenodo__bcp-simp-nonunif-75_50.07,stable_legal,2,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,10545300,156469900,186285800,41900700,101670700,343899570,317343,515667,833010,887369,189820928,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,BF60705AE54CC881A32C90A8962582EC33F57A8FBB5454214B0547C17BF24E2C,13E639115376A432A7A162B1091EBB98431BFBCB542E51C2E08291E6225C3D76
zenodo__bcp-simp-nonunif-75_50.07,greedy_earliest_ready,1,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,10122100,143334600,172727300,42956700,102009600,331735970,317343,515607,832950,887309,189808640,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,4F48DCBBDB6DF34FEED4A1CFC6F92195412628D2843F13CDC25D1BEBA30F4916,8269C2F9B17D2B2FA46124244FD1E6878410E791D3398E8DF269FDA7C8C4B0C9
zenodo__bcp-simp-nonunif-75_50.07,greedy_earliest_ready,2,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,10122100,143334600,172727300,51113300,101293000,339175970,317343,515607,832950,887309,189837312,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,4F48DCBBDB6DF34FEED4A1CFC6F92195412628D2843F13CDC25D1BEBA30F4916,8269C2F9B17D2B2FA46124244FD1E6878410E791D3398E8DF269FDA7C8C4B0C9
zenodo__bcp-simp-nonunif-75_50.07,candidate_frontier,1,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,11372400,154503600,185146600,43082800,102722300,344994070,317343,515607,832950,887309,189812736,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,ACE0D0CC6A722A9FFA93EE6585927E60B1F3C2FE9C4EE2A3DEB26B8F7686D3B9,2C0F2CA913AA5E34916DD805B0909FA8EF1AC23CFB5B9737EE8A9AC823E57FB3
zenodo__bcp-simp-nonunif-75_50.07,candidate_frontier,2,14042370,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,19270600,11372400,154503600,185146600,42895100,102580900,344664970,317343,515607,832950,887309,189812736,False,FCF6D87DF63009AEF7CCAF03F5AC2704179533FEC6933F66176F56A5BE64BE7A,True,True,True,True,ACE0D0CC6A722A9FFA93EE6585927E60B1F3C2FE9C4EE2A3DEB26B8F7686D3B9,2C0F2CA913AA5E34916DD805B0909FA8EF1AC23CFB5B9737EE8A9AC823E57FB3
zenodo__drmx-cryptogen-threshold128_4,original,1,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,184512000,619190300,854306392,2419900,3709909,6129809,6549243,542302208,False,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,original,2,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,181864500,618527100,850995692,2419900,3709909,6129809,6549243,542306304,False,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,stable_legal,1,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,0,0,60193900,190137900,657806200,958742092,2419900,3709909,6129809,6549243,542302208,True,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,stable_legal,2,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,0,0,60193900,187313700,644605500,942717192,2419900,3709909,6129809,6549243,542302208,True,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,greedy_earliest_ready,1,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,0,0,60193900,190771500,636815800,938385292,2419900,3709909,6129809,6549243,542306304,True,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,greedy_earliest_ready,2,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,0,0,60193900,199337100,616038900,926173992,2419900,3709909,6129809,6549243,542302208,True,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,8FD6267D22837B86B41C1B7513E09A586317F57D3AC63A3E2E7E0711C7F2D3C1,D6C877434151C5B6B57D87A5DB85636B62B72D052CF4589A2A0920F6569F1F4B
zenodo__drmx-cryptogen-threshold128_4,candidate_frontier,1,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,13696800,747157300,821048000,180235700,605972100,1657859892,2419900,3709909,6129809,6549243,542302208,False,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,15BDFE54EB678BAB8AF4402BBC36C9F4F18657A5D001340BCA8F635AF2598422,B92CD6A014144EBBD4797C09D9097169CE2129A8AEDC93F3EFC9B92A35E32A2E
zenodo__drmx-cryptogen-threshold128_4,candidate_frontier,2,50604092,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,60193900,13696800,747157300,821048000,185383200,632071400,1689106692,2419900,3709909,6129809,6549243,542302208,False,E3CE105AB4F1FB1B2E694367AD8710D04472F9E229DE32AC87954FEF037B5B52,True,True,True,True,15BDFE54EB678BAB8AF4402BBC36C9F4F18657A5D001340BCA8F635AF2598422,B92CD6A014144EBBD4797C09D9097169CE2129A8AEDC93F3EFC9B92A35E32A2E
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,original,1,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,58220000,117899000,205010869,483552,854140,1337692,1379531,236126208,False,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,original,2,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,52549700,110883200,192324769,483552,854140,1337692,1379531,236134400,False,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,stable_legal,1,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,0,0,15334700,52307200,109281700,205815469,483552,854140,1337692,1379531,236109824,True,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,stable_legal,2,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,0,0,15334700,52627000,113816700,210670269,483552,854140,1337692,1379531,236109824,True,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
