split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"train","pad","06_pad_pad10","generated_pack_default",1,1,1,1,1,832,28368,38,0,0,2.763,0.215,16.020,72840.000,0.000,0.000,0,0,0,0,0,0,0,13312000,3041057189972117130
"train","pad","06_pad_pad10","stable_legal_topo",1,1,1,1,1,848,40092,38,0,111,3.103,0.189,15.840,73468.000,0.000,0.000,0,0,0,0,0,0,0,13377536,3041057189972117130
"train","pad","06_pad_pad10","stable_dedup_off",1,1,1,1,1,896,44040,38,0,111,2.300,0.191,16.820,72012.000,0.000,0.000,0,0,0,0,0,0,0,13332480,3041057189972117130
"train","pad","06_pad_pad10","stable_size_matched_capacity",1,1,1,1,1,848,40092,38,0,111,3.360,0.193,16.320,72040.000,0.000,0.000,0,0,0,0,0,0,0,13340672,3041057189972117130
"train","pad","06_pad_pad10","hot_first_ready",1,1,1,1,1,848,47796,38,0,111,3.553,0.196,16.100,74194.000,0.000,0.000,0,0,0,0,0,0,0,13340672,3041057189972117130
"train","pad","06_pad_pad10","local_field_order",1,1,1,1,1,848,40092,38,0,111,3.303,0.193,15.920,73048.000,0.000,0.000,0,0,0,0,0,0,0,13340672,3041057189972117130
"train","pad","06_pad_pad10","generic_bounded_beam",1,1,1,1,1,848,73140,38,0,111,3.157,0.194,16.100,73958.000,7.297,7.000,4993024,304,3978,0,0,1152,0,13340672,3041057189972117130
"train","pad","06_pad_pad10","fb_rcfdp_bounded",1,1,1,1,1,848,73140,38,0,111,3.437,0.194,16.120,74354.000,17.414,18.000,5185536,297,3978,23,23,1152,0,13340672,3041057189972117130
