split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"train","pad","07_pad_pad18","generated_pack_default",1,1,1,1,1,816,28020,38,0,0,2.583,0.196,16.320,74722.000,0.000,0.000,0,0,0,0,0,0,0,13369344,2504727982801225443
"train","pad","07_pad_pad18","stable_legal_topo",1,1,1,1,1,832,39360,38,0,111,3.330,0.194,16.220,74558.000,0.000,0.000,0,0,0,0,0,0,0,13430784,2504727982801225443
"train","pad","07_pad_pad18","stable_dedup_off",1,1,1,1,1,880,42612,38,0,111,2.250,0.195,17.000,72764.000,0.000,0.000,0,0,0,0,0,0,0,13398016,2504727982801225443
"train","pad","07_pad_pad18","stable_size_matched_capacity",1,1,1,1,1,832,39360,38,0,111,3.343,0.195,17.080,73254.000,0.000,0.000,0,0,0,0,0,0,0,13352960,2504727982801225443
"train","pad","07_pad_pad18","hot_first_ready",1,1,1,1,1,832,46960,38,0,111,3.330,0.195,16.080,74644.000,0.000,0.000,0,0,0,0,0,0,0,13365248,2504727982801225443
"train","pad","07_pad_pad18","local_field_order",1,1,1,1,1,832,39360,38,0,111,3.373,0.194,16.180,72808.000,0.000,0.000,0,0,0,0,0,0,0,13365248,2504727982801225443
"train","pad","07_pad_pad18","generic_bounded_beam",1,1,1,1,1,832,70972,38,0,111,3.160,0.193,16.080,73344.000,6.972,7.000,5005312,304,3978,0,0,1136,0,13365248,2504727982801225443
"train","pad","07_pad_pad18","fb_rcfdp_bounded",1,1,1,1,1,832,70972,38,0,111,3.100,0.195,16.240,74590.000,17.381,18.000,5177344,297,3978,23,23,1136,0,13365248,2504727982801225443
