split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"heldout","sub","12_sub_sub4","generated_pack_default",1,1,1,1,1,864,30096,41,0,0,2.777,0.204,15.140,73026.000,0.000,0.000,0,0,0,0,0,0,0,13393920,13875922224478425032
"heldout","sub","12_sub_sub4","stable_legal_topo",1,1,1,1,1,872,44452,41,0,117,3.320,0.202,15.040,73614.000,0.000,0.000,0,0,0,0,0,0,0,13463552,13875922224478425032
"heldout","sub","12_sub_sub4","stable_dedup_off",1,1,1,1,1,928,48656,41,0,117,3.003,0.203,15.080,72038.000,0.000,0.000,0,0,0,0,0,0,0,13434880,13875922224478425032
"heldout","sub","12_sub_sub4","stable_size_matched_capacity",1,1,1,1,1,872,44452,41,0,117,3.337,0.201,15.120,72634.000,0.000,0.000,0,0,0,0,0,0,0,13393920,13875922224478425032
"heldout","sub","12_sub_sub4","hot_first_ready",1,1,1,1,1,880,51584,41,0,117,3.543,0.201,15.080,72044.000,0.000,0.000,0,0,0,0,0,0,0,13414400,13875922224478425032
"heldout","sub","12_sub_sub4","local_field_order",1,1,1,1,1,872,44452,41,0,117,3.487,0.203,15.020,72442.000,0.000,0.000,0,0,0,0,0,0,0,13414400,13875922224478425032
"heldout","sub","12_sub_sub4","generic_bounded_beam",1,1,1,1,1,888,79260,41,0,117,3.360,0.201,14.920,73504.000,8.484,9.000,5079040,328,4855,0,0,1216,0,13414400,13875922224478425032
"heldout","sub","12_sub_sub4","fb_rcfdp_bounded",1,1,1,1,1,888,78932,41,0,117,3.450,0.203,14.960,72794.000,22.262,22.000,5226496,321,4858,29,29,1216,0,13414400,13875922224478425032
