split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"heldout","conv","18_conv_conv2","generated_pack_default",1,1,1,1,1,3488,150424,50,0,0,3.777,0.241,16.300,71564.000,0.000,0.000,0,0,0,0,0,0,0,14356480,11796727135231356218
"heldout","conv","18_conv_conv2","stable_legal_topo",1,1,1,1,1,3504,122116,50,0,144,7.200,0.241,16.260,72040.000,0.000,0.000,0,0,0,0,0,0,0,14413824,11796727135231356218
"heldout","conv","18_conv_conv2","stable_dedup_off",1,1,1,1,1,3568,126044,50,0,144,5.420,0.239,16.040,72106.000,0.000,0.000,0,0,0,0,0,0,0,14413824,11796727135231356218
"heldout","conv","18_conv_conv2","stable_size_matched_capacity",1,1,1,1,1,3504,122116,50,0,144,6.600,0.239,16.140,71166.000,0.000,0.000,0,0,0,0,0,0,0,14417920,11796727135231356218
"heldout","conv","18_conv_conv2","hot_first_ready",1,1,1,1,1,3520,214100,50,0,144,7.570,0.242,16.360,72448.000,0.000,0.000,0,0,0,0,0,0,0,14422016,11796727135231356218
"heldout","conv","18_conv_conv2","local_field_order",1,1,1,1,1,3504,122116,50,0,144,7.260,0.241,16.780,72140.000,0.000,0.000,0,0,0,0,0,0,0,14450688,11796727135231356218
"heldout","conv","18_conv_conv2","generic_bounded_beam",1,1,1,1,1,3536,478620,50,0,144,6.990,0.244,17.740,72700.000,27.834,28.000,6369280,400,7483,0,0,3936,0,14282752,11796727135231356218
"heldout","conv","18_conv_conv2","fb_rcfdp_bounded",1,1,1,1,1,3536,478620,50,0,144,6.627,0.239,16.180,71658.000,53.990,54.000,7028736,393,7483,37,37,3936,0,14319616,11796727135231356218
