split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"heldout","strided_slice","14_strided_slice_strided_slice15","generated_pack_default",1,1,1,1,1,1248,56496,50,0,0,3.190,0.256,16.340,71546.000,0.000,0.000,0,0,0,0,0,0,0,13725696,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_legal_topo",1,1,1,1,1,1264,74324,50,0,151,4.387,0.259,16.440,72404.000,0.000,0.000,0,0,0,0,0,0,0,13787136,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_dedup_off",1,1,1,1,1,1376,83700,50,0,151,3.180,0.256,16.440,72038.000,0.000,0.000,0,0,0,0,0,0,0,13787136,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","stable_size_matched_capacity",1,1,1,1,1,1264,74324,50,0,151,4.453,0.256,16.400,71038.000,0.000,0.000,0,0,0,0,0,0,0,13811712,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","hot_first_ready",1,1,1,1,1,1264,90064,50,0,151,4.593,0.256,16.360,71158.000,0.000,0.000,0,0,0,0,0,0,0,13811712,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","local_field_order",1,1,1,1,1,1264,74324,50,0,151,4.380,0.256,16.340,71540.000,0.000,0.000,0,0,0,0,0,0,0,13811712,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","generic_bounded_beam",1,1,1,1,1,1296,150268,50,0,151,4.543,0.255,16.340,71840.000,16.791,17.000,5623808,400,7371,0,0,1696,0,13815808,11662840376245977390
"heldout","strided_slice","14_strided_slice_strided_slice15","fb_rcfdp_bounded",1,1,1,1,1,1296,150268,50,0,151,4.423,0.256,16.420,72028.000,40.848,41.000,5980160,393,7371,25,25,1696,0,13766656,11662840376245977390
