split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,verify_wall_us,reader_warm_ns,reader_cold_ns,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,fallback,process_peak_rss,canonical_fnv64
"heldout","hello_world","23_hello_world_hello_world_float","generated_pack_default",1,1,1,1,1,3232,212472,103,0,0,6.600,0.523,15.980,72926.000,0.000,0.000,0,0,0,0,0,0,0,13996032,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","stable_legal_topo",1,1,1,1,1,3216,178152,103,0,303,8.937,0.514,15.780,71774.000,0.000,0.000,0,0,0,0,0,0,0,14045184,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","stable_dedup_off",1,1,1,1,1,3584,215228,103,0,303,6.803,0.528,16.500,72610.000,0.000,0.000,0,0,0,0,0,0,0,14049280,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","stable_size_matched_capacity",1,1,1,1,1,3216,178152,103,0,303,8.730,0.523,16.060,73388.000,0.000,0.000,0,0,0,0,0,0,0,14049280,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","hot_first_ready",1,1,1,1,1,3216,350316,103,0,303,9.890,0.540,15.900,72410.000,0.000,0.000,0,0,0,0,0,0,0,14049280,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","local_field_order",1,1,1,1,1,3200,177992,103,0,303,9.650,0.552,16.080,73482.000,0.000,0.000,0,0,0,0,0,0,0,14049280,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","generic_bounded_beam",1,1,1,1,1,3216,178152,103,0,303,8.597,0.544,16.100,74828.000,42.823,42.000,6197248,448,20001,0,0,1176,1,14053376,3830734122163917585
"heldout","hello_world","23_hello_world_hello_world_float","fb_rcfdp_bounded",1,1,1,1,1,3216,178152,103,0,303,8.927,0.517,15.840,72396.000,127.299,127.000,6791168,448,20001,0,0,1176,1,14053376,3830734122163917585
