asset	official_url_or_repository	commit	bytes	sha256	license_or_provenance	status
llvm-project archive	https://github.com/llvm/llvm-project/archive/1f112d62e1fa2c4f1a04887abd72da1ed61cf791.tar.gz	1f112d62e1fa2c4f1a04887abd72da1ed61cf791	279920943	467AA7D8315BC5B05CDC796300B20FA0019E91571CF51BEEB13EC862E51AFC9B	Apache-2.0 WITH LLVM-exception; GitHub valid commit signature	VERIFIED
ROCm examples archive	https://github.com/ROCm/rocm-examples/archive/269e9068d6fd6e68b1cc5a76eb77744f88af42ec.tar.gz	269e9068d6fd6e68b1cc5a76eb77744f88af42ec	42592017	FCA47F62646CEFD2AE7A80F0275906B3D9F6799132F1B94E13E07CA617082DD3	MIT; GitHub valid commit signature	VERIFIED
HIP headers archive	https://github.com/ROCm/HIP/archive/1377114f8220724206f1f5a770501fda11d8d1e1.tar.gz	1377114f8220724206f1f5a770501fda11d8d1e1	4251923	E8A739248DFDF587EEF7F5E24001C8BA202D630201CD2D0E95A2C48D874C75C8	MIT; official immutable commit	VERIFIED
CLR AMD-detail headers archive	https://github.com/ROCm/clr/archive/4b824dff90ab4b6e969b53c5bb81e9c9285434c3.tar.gz	4b824dff90ab4b6e969b53c5bb81e9c9285434c3	2161115	DAB52571517BC2F8B43D0A8FBF4493EEC40986E0E2608FFBD4EF031D748D62F0	MIT; official immutable commit	VERIFIED
