name	bytes	sha256	role
clang.exe	161210368	6433C4266C81F74AB8DFE12778E9AFFEA281B804DE1C901314F268ED94383874	exact-commit natural-IR frontend
llc.exe	102064128	50B2889F0BE87D5FB0B9F11AE9C35A2A6A5745DFB723F4060A27D5C686C79C24	exact-commit claim tool
FileCheck.exe	1060352	90F1D7D81F038C6B4966C5B5F937D9C6FCC355B2D1DD6E1DF0BCE969D835ABF0	exact-commit checker
llvm-calc-occupancy.exe	61255168	155A59D3937D6D59441409DEC18DB55D735FD5D57AED9F5FAD0B107CB13A1A3A	exact-commit occupancy tool
libc++.dll	2095104	952B41B1370DDB5E7299CC9FCEFCE2AD8C2021409948B057EC4D903C03760B6C	registered bootstrap runtime dependency
libunwind.dll	204288	8D9F60801F50C0A6CB7BEB7FD2E121F98BF39EBE40E6C7E07A8A39FCCB817C03	registered bootstrap runtime dependency
libwinpthread-1.dll	282624	849D176464140E0705BD4FDEC6974A1D6EFEBA20EFEBC13A364C58B7BF0BA594	registered bootstrap runtime dependency
