corpus	variant	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes	nodes	arcs	returned_bits	build_ns	sequential_validate_ns	ef_build_ns	random_validate_and_query_ns	query_checksum
cnr-2000	baseline	0	450613400	468750000	66301952	325557	3216152	9319309	133812100	44727400	3645000	139239000	16859436873049021023
cnr-2000	candidate	0	47166762500	46859375000	69992448	325557	3216152	8763554	46797898400	45635900	4848700	159321800	16859436873049021023
wiki-vote	baseline	0	102020600	46875000	13524992	7115	103689	876503	20989000	12072900	936600	10133700	15912400819775153403
wiki-vote	candidate	0	1329968300	1281250000	16265216	7115	103689	875555	1257193100	11539400	938800	12062800	15912400819775153403
