corpus	pair_index	order_position	variant	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes	nodes	arcs	returned_bits	build_ns	sequential_validate_ns	ef_build_ns	random_validate_and_query_ns	harness_query_checksum	reader_exit_code	reader_process_elapsed_ns	reader_process_cpu_ns	reader_peak_working_set_bytes	reader_sequential_full_decode_ns	reader_random_100k_ns	reader_sequential_checksum	reader_random_checksum	native_payload_bytes	graph_sha256	offsets_sha256	properties_sha256	ef_sha256
cnr-2000	5	0	candidate	0	3919652500	3843750000	66207744	325557	3216152	8763554	3548119800	45778300	4568100	180746300	16859436873049021023	0	119624400	46875000	9031680	21471500	44622000	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	5	1	baseline	0	498095200	453125000	66179072	325557	3216152	9319309	158404300	46500100	5592100	148284100	16859436873049021023	0	106767700	78125000	9183232	20714000	36689200	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	6	0	baseline	0	516917600	468750000	66076672	325557	3216152	9319309	152618600	46632900	3914200	173360400	16859436873049021023	0	125950100	78125000	9150464	20729900	34526600	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	6	1	candidate	0	3725197900	3656250000	66138112	325557	3216152	8763554	3400031200	43817900	4898400	148047000	16859436873049021023	0	116931200	78125000	9052160	21197400	40721700	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	7	0	candidate	0	3776455500	3656250000	66523136	325557	3216152	8763554	3444354800	44248500	4666800	146485700	16859436873049021023	0	107432300	62500000	9035776	20131000	35008900	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	7	1	baseline	0	496610800	406250000	66359296	325557	3216152	9319309	159099000	45689800	3799600	143579400	16859436873049021023	0	105071600	62500000	9158656	20717800	35250600	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	8	0	baseline	0	483580500	421875000	66105344	325557	3216152	9319309	147862700	49607000	3781500	145050200	16859436873049021023	0	115955500	78125000	9187328	22757700	38703300	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	8	1	candidate	0	3811431600	3734375000	66338816	325557	3216152	8763554	3449270500	46250500	5055600	155517200	16859436873049021023	0	108139900	62500000	9007104	22979800	37719300	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	9	0	candidate	0	3801686100	3734375000	66359296	325557	3216152	8763554	3456051700	47159500	4869000	152140700	16859436873049021023	0	115720200	62500000	9003008	20062200	39304100	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
cnr-2000	9	1	baseline	0	499007500	484375000	66240512	325557	3216152	9319309	153997800	50071400	4005800	147889200	16859436873049021023	0	102056000	78125000	9142272	21548500	38117000	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
